State,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,while,comp,else,return,class,$,S,CODE,VDECL,ASSIGN,RHS,EXPR,TERM,FACTOR,FDECL,ARG,MOREARGS,BLOCK,STMT,COND,ELSE,RETURN,CDECL,ODECL
0,s 5,,,,,,,,,,,,,,,,,,,,s 6,r 4,,1,2,,,,,,3,,,,,,,,4,
1,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,
2,s 5,,,,,,,,,,,,,,,,,,,,s 6,r 4,,7,2,,,,,,3,,,,,,,,4,
3,s 5,,,,,,,,,,,,,,,,,,,,s 6,r 4,,8,2,,,,,,3,,,,,,,,4,
4,s 5,,,,,,,,,,,,,,,,,,,,s 6,r 4,,9,2,,,,,,3,,,,,,,,4,
5,,s 10,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
6,,s 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,r 1,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,r 2,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,r 3,,,,,,,,,,,,,,,,,,
10,,,s 13,s 15,,,,,,s 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,s 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,s 17,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,r 5,r 5,,,,,,,,,,,,r 5,,r 5,r 5,,,r 5,r 5,r 5,,,,,,,,,,,,,,,,,,
14,s 19,,,,,,,,,,r 21,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
15,,s 28,,,s 22,s 23,s 24,,,s 27,,s 29,,,,,,,,,,,,,,,20,21,25,26,,,,,,,,,,
16,r 6,r 6,,,,,,,,,,,,r 6,,r 6,r 6,,,r 6,r 6,r 6,,,,,,,,,,,,,,,,,,
17,s 5,,,,,,,,,,,,,r 38,,,,,,,,,,,31,,,,,,32,,,,,,,,,30
18,,,,,,,,,,,s 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,s 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,r 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,r 8,,,,,s 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,r 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,r 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,r 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,r 13,,,,,r 13,s 36,,r 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,r 15,,,,,r 15,r 15,,r 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,s 28,,,,,,,,s 27,,s 29,,,,,,,,,,,,,,,,37,25,26,,,,,,,,,,
28,,,r 17,,,,,r 17,r 17,,r 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,r 18,,,,,r 18,r 18,,r 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,s 38,,,,,,,,,,,,,,,,,,,,,,,,,,
31,s 5,,,,,,,,,,,,,r 38,,,,,,,,,,,31,,,,,,32,,,,,,,,,39
32,s 5,,,,,,,,,,,,,r 38,,,,,,,,,,,31,,,,,,32,,,,,,,,,40
33,,,,,,,,,,,,,s 41,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,r 23,,,,s 43,,,,,,,,,,,,,,,,,,42,,,,,,,
35,,s 28,,,,,,,,s 27,,s 29,,,,,,,,,,,,,,,,,44,26,,,,,,,,,,
36,,s 28,,,,,,,,s 27,,s 29,,,,,,,,,,,,,,,,,,45,,,,,,,,,,
37,,,,,,,,s 35,,,s 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,r 35,,,,,,,,,,,,,,,,,,,,r 35,r 35,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,r 36,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,r 37,,,,,,,,,,,,,,,,,,,,,,,,,,
41,s 53,s 54,,,,,,,,,,,,r 25,,s 51,s 52,,,r 25,,,,,49,50,,,,,,,,47,48,,,,,
42,,,,,,,,,,,r 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,s 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,r 12,,,,,r 12,s 36,,r 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,r 14,,,,,r 14,r 14,,r 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,r 16,,,,,r 16,r 16,,r 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,s 57,,,,,,,,,,,,,,,,,,56,,
48,s 53,s 54,,,,,,,,,,,,r 25,,s 51,s 52,,,r 25,,,,,49,50,,,,,,,,58,48,,,,,
49,r 26,r 26,,,,,,,,,,,,r 26,,r 26,r 26,,,r 26,,,,,,,,,,,,,,,,,,,,
50,,,s 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,s 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,s 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,s 62,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
54,,,,s 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,s 64,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,s 28,,,s 22,s 23,s 24,,,s 27,,s 29,,,,,,,,,,,,,,,65,21,25,26,,,,,,,,,,
58,,,,,,,,,,,,,,r 24,,,,,,r 24,,,,,,,,,,,,,,,,,,,,
59,r 27,r 27,,,,,,,,,,,,r 27,,r 27,r 27,,,r 27,,,,,,,,,,,,,,,,,,,,
60,,,,,,,s 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,
61,,,,,,,s 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,
62,,,s 13,s 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,r 23,,,,s 43,,,,,,,,,,,,,,,,,,69,,,,,,,
64,r 19,,,,,,,,,,,,,r 19,,,,,,,r 19,r 19,,,,,,,,,,,,,,,,,,
65,,,s 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,s 71,,,,,,,s 72,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,r 31,,,,,,,r 31,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,s 73,,,,,,,s 72,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,r 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,r 34,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,s 74,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,s 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
